Lot Area,Neighborhood,Bldg Type,House Style,Year Built,Year Remod/Add,Full Bath,Bedroom AbvGr,SalePrice
17503,NAmes,Single-Family,2,1948,1950,1,3,97500
9830,NAmes,Single-Family,1,1959,2006,1,3,162000
11275,NAmes,Single-Family,2,1967,2007,2,5,242000
8064,NAmes,Single-Family,2,1948,2004,1,3,132000
7500,NAmes,Single-Family,1,1959,1994,1,3,154000
8520,NAmes,Single-Family,2,1952,1952,2,4,166000
7200,NAmes,Single-Family,1,1951,2000,1,3,134800
10000,NAmes,Single-Family,1,1962,1962,1,3,160000
7635,NAmes,Single-Family,1,1960,1960,1,3,148000
9760,NAmes,Single-Family,1,1963,1984,1,2,192000
7700,NAmes,Single-Family,2,1966,1966,1,4,155000
4800,OldTown,Single-Family,2,1900,1954,1,3,80400
8800,OldTown,Single-Family,2,1910,2004,1,3,96500
4485,OldTown,Single-Family,1,1920,1950,1,2,109500
8960,OldTown,Single-Family,1,1927,1950,1,2,115000
5805,OldTown,Single-Family,1,1957,1957,1,3,143000
5790,OldTown,Single-Family,2,1915,1950,2,3,107400
4608,OldTown,Single-Family,1,1945,1950,1,2,80000
7200,OldTown,Single-Family,1,1940,1992,1,2,119000
5500,OldTown,Single-Family,2,1929,2001,1,3,130000
6900,OldTown,Single-Family,2,1938,2000,1,3,119000
11851,OldTown,Single-Family,2,1948,2009,1,3,129000
8239,OldTown,Single-Family,2,1920,1962,1,3,100000
8520,OldTown,Single-Family,1,1928,2003,1,2,105900
9600,OldTown,Single-Family,2,1900,2003,2,3,150000
10800,OldTown,Single-Family,2,1915,1950,2,4,139000
9000,OldTown,Single-Family,2,1890,2002,3,3,240000
7407,OldTown,Single-Family,1,1957,1996,1,2,149700
7740,OldTown,Single-Family,2,1910,1950,1,3,125500
11340,OldTown,Multi-Family,2,1885,1950,2,4,122500
10560,OldTown,Single-Family,2,1922,1994,1,2,140750
5830,BrkSide,Single-Family,2,1950,1997,1,3,128500
7793,BrkSide,Single-Family,2,1922,2005,1,3,209500
5000,BrkSide,Single-Family,1,1925,1950,1,2,87000
6000,BrkSide,Single-Family,2,1939,1950,1,2,134000
6000,BrkSide,Single-Family,2,1940,1950,1,3,128000
6360,BrkSide,Single-Family,2,1942,1950,1,3,132000
6000,BrkSide,Single-Family,2,1948,1950,1,3,139900
6240,BrkSide,Single-Family,2,1936,1980,1,2,123900
6240,BrkSide,Single-Family,2,1930,1950,2,4,138400
6120,OldTown,Single-Family,1,1923,1950,1,2,109500
10300,OldTown,Single-Family,2,1921,1950,2,3,140000
8094,OldTown,Single-Family,2,1915,1950,1,4,149500
12900,OldTown,Single-Family,2,1912,2009,1,3,159900
3068,OldTown,Single-Family,2,1920,1993,1,3,122000
8472,IDOTRR,Multi-Family,1,1963,1963,1,2,110000
7630,OldTown,Multi-Family,2,1900,1996,2,4,140000
24090,ClearCr,Single-Family,2,1940,1950,2,4,244400
15263,ClearCr,Single-Family,1,1959,1959,2,3,173000
10632,ClearCr,Single-Family,2,1917,1950,1,3,107500
9900,SWISU,Multi-Family,2,1915,1950,1,3,100000
6001,SWISU,Single-Family,2,1940,1950,1,3,95000
6449,SWISU,Single-Family,2,1907,1950,1,4,93369
6048,SWISU,Multi-Family,2,1910,1950,2,2,114900
6342,Sawyer,Single-Family,2,1875,1996,1,2,94000
10773,Sawyer,Multi-Family,1,1967,1967,2,4,136000
10778,Sawyer,Multi-Family,1,1968,1968,2,4,136500
11625,Sawyer,Multi-Family,1,1965,1965,1,3,131500
11341,Sawyer,Single-Family,1,1957,1996,1,3,121500
8521,Sawyer,Single-Family,1,1967,1967,1,3,125000
8246,Sawyer,Single-Family,1,1968,2001,1,3,154000
7800,Sawyer,Single-Family,1,1966,2008,1,3,137900
9364,Sawyer,Single-Family,2,1969,1969,1,4,158000
7832,Sawyer,Single-Family,1,1968,1968,1,2,137250
7424,Sawyer,Multi-Family,2,1978,1978,1,3,160250
11227,Sawyer,Single-Family,2,1968,1968,1,4,163000
11616,Sawyer,Single-Family,2,1978,1978,2,3,158900
20062,ClearCr,Single-Family,1,1977,2001,1,1,270000
9259,Sawyer,Single-Family,1,1927,1950,1,2,85000
9600,Sawyer,Single-Family,1,1950,1995,2,2,128000
17082,ClearCr,Single-Family,2,1978,1992,2,4,230000
18600,Edwards,Single-Family,2,1938,1990,2,4,124000
10625,Edwards,Single-Family,1,1920,1950,1,2,83000
11479,Edwards,Single-Family,1,1950,1987,1,3,144500
9571,Edwards,Single-Family,1,1956,1956,1,3,129000
9350,Edwards,Single-Family,2,1947,1979,1,3,127000
9525,Edwards,Single-Family,1,1954,1998,1,3,128000
10420,Edwards,Single-Family,1,2009,2009,2,3,186000
11200,Edwards,Single-Family,1,1964,1964,2,3,114000
11100,Edwards,Single-Family,1,1946,2006,1,2,84900
9206,SawyerW,Single-Family,2,1985,1985,2,3,178000
11980,SawyerW,Single-Family,1,1987,1987,1,1,270000
12361,SawyerW,Single-Family,2,1993,1993,2,3,218000
9938,SawyerW,Single-Family,2,1993,1994,2,3,236000
9069,SawyerW,Single-Family,2,1992,1992,1,2,147000
10475,CollgCr,Single-Family,1,2008,2008,2,3,245350
6762,CollgCr,Single-Family,1,2006,2006,2,2,206000
10402,CollgCr,Single-Family,1,2009,2009,2,3,198900
7360,CollgCr,Single-Family,1,2010,2010,2,2,187000
14235,SawyerW,Single-Family,2,1900,1993,2,3,138500
8816,ClearCr,Single-Family,2,1971,1971,1,3,155000
11105,CollgCr,Single-Family,2,1996,1996,1,2,159000
9337,CollgCr,Single-Family,2,1997,1998,2,3,191000
8750,CollgCr,Single-Family,2,1998,1998,2,3,200500
15240,CollgCr,Single-Family,1,1977,2004,1,3,150000
10900,CollgCr,Single-Family,2,1977,1977,1,3,161750
10650,CollgCr,Single-Family,1,1976,1976,1,3,128200
7480,CollgCr,Single-Family,1,1972,1972,1,3,127000
11423,CollgCr,Single-Family,1,2001,2002,2,3,272000
9548,CollgCr,Single-Family,2,2003,2003,2,3,237000
9375,CollgCr,Single-Family,2,1997,1997,2,4,240000
12137,CollgCr,Single-Family,1,1998,1998,2,3,224900
4435,CollgCr,Townhouse,1,2003,2003,1,1,143750
4426,CollgCr,Townhouse,1,2004,2004,1,1,143000
10635,CollgCr,Single-Family,1,2003,2003,2,3,232000
8400,CollgCr,Single-Family,1,2004,2005,2,3,213000
8773,CollgCr,Single-Family,1,2004,2004,2,3,185500
8777,Edwards,Single-Family,1,1945,2007,1,2,84900
8842,Edwards,Single-Family,1,1954,1954,1,3,155891
9825,Edwards,Multi-Family,1,1965,1965,2,4,100000
10044,Edwards,Single-Family,1,1968,1968,1,3,144000
6305,Edwards,Single-Family,2,1975,1975,1,3,125200
7819,Edwards,Single-Family,2,1976,1976,1,3,107000
6410,Edwards,Single-Family,1,1958,1958,1,3,90000
8546,Edwards,Single-Family,1,2003,2004,2,2,140000
8741,Edwards,Single-Family,2,1945,1950,1,3,113000
12180,Edwards,Multi-Family,2,1941,1950,1,2,80000
8562,Edwards,Single-Family,1,1957,2002,1,4,144500
4853,SWISU,Single-Family,1,1924,1999,2,2,104000
6858,SWISU,Single-Family,2,1915,1950,1,4,128000
5000,SWISU,Single-Family,2,1924,1950,2,3,127000
7890,SWISU,Single-Family,1,1939,1950,1,2,126000
7200,SWISU,Multi-Family,2,1967,1967,3,6,160000
9839,SWISU,Single-Family,2,1931,1950,1,3,100000
9638,SWISU,Single-Family,2,1919,1990,2,4,169000
10452,Crawfor,Single-Family,2,1941,1985,1,4,257500
15600,Crawfor,Multi-Family,2,1950,1991,2,5,215000
9042,Crawfor,Single-Family,2,1941,2006,2,4,266500
19645,Crawfor,Single-Family,2,1994,2007,2,3,203135
3907,Blueste,Townhouse,1,1989,1989,1,1,185000
3907,Blueste,Townhouse,1,1989,1989,2,2,162500
15602,Crawfor,Single-Family,1,1959,1997,2,1,289000
5436,IDOTRR,Single-Family,2,1922,2007,1,3,125500
8154,IDOTRR,Single-Family,1,1941,1950,1,1,82000
9140,IDOTRR,Single-Family,2,1921,1975,1,2,110000
8712,IDOTRR,Single-Family,2,1900,1950,1,2,102776
3811,Crawfor,Townhouse,1,2004,2005,2,2,246000
11050,Mitchel,Single-Family,2,1998,1999,2,3,254900
9620,Mitchel,Single-Family,2,1977,1977,2,3,190000
9196,Mitchel,Single-Family,1,2003,2003,2,3,201000
12328,Mitchel,Single-Family,2,1976,1976,1,3,169900
12760,Mitchel,Multi-Family,1,1976,1976,3,5,170000
57200,Timber,Single-Family,1,1948,1950,1,3,160000
11896,Timber,Single-Family,1,2008,2008,2,3,220000
9803,Timber,Single-Family,1,2009,2010,2,2,179781
9802,Timber,Single-Family,2,2006,2007,2,3,174000
12003,Timber,Single-Family,2,2009,2010,2,4,269500
11316,Timber,Single-Family,2,2002,2003,2,4,214900
14191,Timber,Single-Family,2,2002,2002,2,4,202900
15300,Mitchel,Single-Family,1,1965,1977,1,2,169000
10114,Mitchel,Single-Family,1,2004,2005,2,3,173500
9400,Mitchel,Multi-Family,2,1971,1971,2,4,139000
11875,Mitchel,Single-Family,1,1999,1999,2,3,166500
1974,MeadowV,Townhouse,2,1973,1973,1,3,83500
2394,MeadowV,Townhouse,1,1973,1973,1,2,119500
2592,MeadowV,Townhouse,2,1976,1976,1,3,85000
1900,MeadowV,Townhouse,2,1970,1970,1,3,88250
1890,MeadowV,Townhouse,2,1972,1972,1,3,85500
6953,Mitchel,Single-Family,1,1971,2004,1,3,130000
26142,Mitchel,Single-Family,1,1962,1962,1,3,157900
12887,Mitchel,Single-Family,1,1984,1984,1,2,149900
7700,Mitchel,Multi-Family,2,1985,1986,4,4,159000
10475,Mitchel,Single-Family,2,1991,1991,1,3,136000
10544,Mitchel,Single-Family,2,1969,1969,2,5,161000
9892,Mitchel,Single-Family,1,1994,1995,2,3,285000
12961,Mitchel,Single-Family,2,1993,1994,2,3,231000
13008,NAmes,Single-Family,1,1956,1956,1,2,124500
10200,NAmes,Single-Family,1,1974,1974,2,4,157000
10179,Gilbert,Single-Family,2,1997,1997,2,3,189500
11792,Gilbert,Single-Family,2,2003,2003,2,4,270000
8400,Gilbert,Single-Family,2,1996,1997,2,3,189000
8530,Gilbert,Single-Family,2,1995,1996,2,3,168500
5664,StoneBr,Townhouse,1,2000,2000,2,2,278000
7380,StoneBr,Single-Family,1,1998,1998,2,2,240000
8013,StoneBr,Townhouse,1,1995,1996,2,2,239500
8923,Gilbert,Single-Family,2,1998,1998,2,3,177500
10141,Gilbert,Single-Family,2,1998,1998,2,3,185000
7500,Gilbert,Single-Family,2,1998,1999,2,3,191000
7837,Gilbert,Single-Family,2,1993,1994,2,3,178000
9765,Gilbert,Single-Family,2,1993,1993,2,3,185000
8803,Gilbert,Single-Family,2,1994,1995,2,3,181316
7250,Gilbert,Single-Family,1,1993,1993,2,3,166000
9636,Gilbert,Single-Family,2,1992,1993,2,3,178000
8125,Gilbert,Single-Family,2,1994,1995,2,3,174000
9248,Gilbert,Single-Family,1,1992,1992,2,3,173000
10762,Gilbert,Single-Family,2,1999,1999,2,3,225000
11851,Gilbert,Single-Family,1,1990,1990,2,3,180500
5814,StoneBr,Townhouse,1,1984,1984,1,1,187500
16158,StoneBr,Single-Family,1,2005,2005,2,3,260000
11900,Gilbert,Single-Family,2,1977,1977,2,3,185000
13005,NWAmes,Single-Family,2,1980,1980,2,4,260000
17043,NWAmes,Single-Family,1,1979,1998,2,3,181000
11900,NWAmes,Single-Family,1,1977,1977,2,3,82500
16635,NWAmes,Single-Family,1,1977,2000,2,3,215000
13250,NWAmes,Single-Family,2,1978,1978,2,4,154000
10928,NWAmes,Single-Family,1,1978,1986,2,3,200000
12388,NWAmes,Single-Family,2,1980,1991,2,4,249000
14115,NWAmes,Single-Family,2,1980,1980,2,3,187500
11088,NWAmes,Single-Family,1,1978,1998,2,3,184000
9600,NWAmes,Single-Family,1,1981,1981,2,4,278000
11880,NWAmes,Single-Family,1,1978,1978,2,3,157000
10400,NWAmes,Single-Family,1,1976,1976,2,3,152000
10304,NWAmes,Single-Family,2,1976,1976,2,4,197500
7000,Somerst,Single-Family,2,2003,2003,2,3,240900
8004,Somerst,Single-Family,2,2009,2009,2,3,263435
7500,Somerst,Single-Family,2,2000,2001,2,3,220000
8470,Somerst,Single-Family,2,2002,2002,2,3,235000
9373,NWAmes,Single-Family,1,1975,1975,2,3,213000
10140,NWAmes,Single-Family,1,1974,1974,2,3,167900
11050,NWAmes,Single-Family,1,1975,1975,2,3,158000
10140,NWAmes,Single-Family,1,1974,1974,2,3,165000
10448,NWAmes,Single-Family,2,1972,1972,2,3,158000
9000,NAmes,Multi-Family,2,1974,1974,2,4,136000
8750,NAmes,Single-Family,1,1970,1970,1,3,148500
7930,NAmes,Single-Family,1,1969,2005,1,3,156000
7830,NAmes,Single-Family,1,1970,1970,1,2,128000
8510,NAmes,Single-Family,1,1971,1971,1,3,143000
6960,NAmes,Single-Family,1,1970,1970,1,3,120500
8120,NAmes,Single-Family,1,1970,1970,1,3,124500
10500,NAmes,Single-Family,1,1971,1971,1,2,97000
9000,NAmes,Single-Family,1,1971,2006,1,3,130000
1680,BrDale,Townhouse,2,1973,1973,1,2,111000
2368,BrDale,Townhouse,2,1970,1970,1,3,125000
1680,BrDale,Townhouse,2,1972,1972,1,2,97000
1680,BrDale,Townhouse,2,1972,2007,1,2,118000
4928,NPkVill,Townhouse,1,1976,1976,2,2,143750
2308,NPkVill,Townhouse,2,1976,1976,2,3,146000
2280,NPkVill,Townhouse,2,1976,1976,2,3,148500
2280,NPkVill,Townhouse,1,1975,1975,2,2,123000
2308,NPkVill,Townhouse,2,1974,1974,2,3,147000
2349,NPkVill,Townhouse,2,1977,1977,2,3,137900
2364,NPkVill,Townhouse,2,1978,1978,2,3,147000
2289,NPkVill,Townhouse,2,1978,1978,2,3,148500
2364,NPkVill,Townhouse,2,1978,1978,2,3,138000
2104,NPkVill,Townhouse,1,1976,1976,1,2,128500
7150,NAmes,Single-Family,1,1967,1967,1,3,100000
10710,NAmes,Single-Family,1,1966,2004,1,3,148800
14230,NridgHt,Single-Family,1,2007,2007,2,3,256300
12704,NridgHt,Single-Family,1,2008,2009,2,3,253293
16870,NridgHt,Single-Family,1,2004,2005,2,3,296000
11146,NridgHt,Single-Family,1,2006,2006,2,3,255500
9591,NridgHt,Single-Family,1,2004,2005,2,3,274900
10872,NridgHt,Single-Family,1,2006,2006,2,2,300000
11362,NridgHt,Single-Family,1,2004,2005,2,3,280000
10655,NridgHt,Single-Family,1,2003,2004,2,3,284000
12878,NridgHt,Single-Family,1,2003,2004,2,3,269500
9541,NridgHt,Single-Family,1,2009,2009,2,3,233170
13262,NridgHt,Single-Family,2,2003,2004,3,4,290000
9658,NridgHt,Single-Family,1,2006,2006,2,3,255900
6904,NridgHt,Townhouse,1,2005,2005,2,2,213000
5381,NridgHt,Townhouse,1,2005,2005,2,1,196000
5122,NridgHt,Townhouse,1,2005,2005,2,1,184500
10307,NridgHt,Townhouse,1,2007,2008,2,2,212500
5001,NridgHt,Townhouse,1,2007,2008,2,2,230000
6472,NridgHt,Townhouse,1,2008,2008,2,2,248500
16770,NridgHt,Single-Family,1,2002,2003,2,3,286500
6240,NridgHt,Townhouse,1,2006,2006,2,2,254000
3480,NridgHt,Townhouse,1,2003,2003,2,2,173000
2268,NridgHt,Townhouse,2,2003,2004,2,2,173000
10928,Gilbert,Single-Family,2,2005,2005,2,3,184000
8918,Gilbert,Single-Family,2,2005,2006,2,3,167800
12589,Gilbert,Single-Family,2,2005,2005,2,3,174000
11911,Gilbert,Single-Family,2,2005,2005,2,3,174000
3684,Blmngtn,Townhouse,1,2007,2007,2,2,174000
3635,Blmngtn,Townhouse,1,2007,2007,2,1,175900
3182,Blmngtn,Townhouse,1,2005,2006,2,2,192500
3182,Blmngtn,Townhouse,1,2005,2006,2,1,181000
3182,Blmngtn,Townhouse,1,2005,2006,2,2,180000
3182,Blmngtn,Townhouse,1,2005,2006,2,2,160200
7795,Gilbert,Single-Family,2,2004,2005,2,3,188500
8068,Gilbert,Single-Family,2,2002,2002,2,4,200000
9434,Gilbert,Single-Family,2,2004,2005,2,3,170000
7984,Gilbert,Single-Family,2,2004,2005,2,3,189500
7750,Gilbert,Single-Family,2,2002,2002,2,3,184100
10125,Gilbert,Single-Family,2,2004,2004,2,3,195500
8965,Gilbert,Single-Family,2,2003,2003,2,3,192000
8174,Gilbert,Single-Family,2,2003,2003,2,3,178000
5063,NridgHt,Townhouse,1,2007,2008,2,2,207500
8795,Gilbert,Single-Family,2,2000,2000,2,4,236000
12891,Gilbert,Single-Family,2,2002,2002,2,4,257500
12224,Gilbert,Single-Family,2,2000,2000,2,3,244000
9734,Gilbert,Single-Family,2,2004,2004,2,3,167000
8123,Gilbert,Single-Family,2,2000,2000,2,3,179000
8433,Gilbert,Single-Family,2,2000,2000,2,3,190000
7750,Gilbert,Single-Family,2,1999,2000,2,3,156000
15896,Gilbert,Single-Family,2,1999,1999,2,4,245000
24682,Gilbert,Single-Family,2,1999,1999,2,3,181000
8755,Gilbert,Single-Family,2,1999,1999,2,3,214000
7848,Gilbert,Single-Family,2,1999,1999,2,3,168000
10208,NoRidge,Single-Family,2,1996,1997,2,3,265000
9900,NoRidge,Single-Family,2,1993,1993,2,4,260000
9085,NoRidge,Single-Family,2,1995,1996,2,3,260000
11692,NoRidge,Single-Family,2,1993,1994,2,3,263550
29959,NoRidge,Single-Family,2,1994,1994,2,3,248000
9612,Somerst,Single-Family,1,2008,2009,2,3,244600
11194,Somerst,Single-Family,1,2008,2008,2,3,275000
10206,Somerst,Single-Family,1,2008,2008,2,3,257500
9262,Somerst,Single-Family,1,2008,2009,2,3,287090
10130,Somerst,Single-Family,1,2007,2007,2,3,275500
9139,Somerst,Single-Family,1,2006,2006,2,3,245000
9675,Somerst,Single-Family,2,2005,2005,2,3,253000
8640,Somerst,Single-Family,2,2009,2009,2,3,252678
9000,Somerst,Single-Family,2,2008,2008,2,3,210000
7862,Somerst,Single-Family,1,2009,2009,2,2,208300
7993,Somerst,Single-Family,1,2008,2009,2,3,225000
8640,Somerst,Single-Family,1,2009,2009,2,3,229456
8640,Somerst,Single-Family,1,2008,2008,2,3,229800
12606,Somerst,Single-Family,1,2007,2008,2,3,250000
7500,Somerst,Single-Family,1,2006,2007,2,2,238500
10603,Somerst,Single-Family,2,2006,2006,2,3,270000
10574,Somerst,Single-Family,2,2005,2006,2,3,252000
8125,Somerst,Single-Family,2,2006,2007,2,2,241000
8125,Somerst,Single-Family,1,2008,2009,2,3,264500
10625,Somerst,Single-Family,1,2006,2007,2,3,291000
9375,Somerst,Single-Family,2,2003,2004,2,4,263000
7500,Somerst,Single-Family,1,2004,2005,2,2,185000
8736,Somerst,Single-Family,1,2003,2004,2,3,234500
8127,Somerst,Single-Family,2,2003,2003,2,3,209000
9605,SawyerW,Single-Family,1,2007,2007,1,3,159000
7500,SawyerW,Single-Family,1,2006,2006,1,3,152000
7500,SawyerW,Single-Family,1,2004,2004,1,3,143500
10628,SawyerW,Single-Family,2,2004,2004,2,3,193000
10141,SawyerW,Single-Family,1,2004,2004,2,3,203000
10083,SawyerW,Single-Family,1,2003,2003,2,2,184900
13072,SawyerW,Single-Family,1,2004,2005,1,3,159000
13072,SawyerW,Single-Family,1,2004,2004,1,3,142000
12450,SawyerW,Single-Family,1,2003,2004,2,3,153000
7328,SawyerW,Single-Family,1,2008,2009,2,2,224243
11492,SawyerW,Single-Family,2,1996,1997,2,4,220000
